Site,NomSite,Distance,Arbre,Poids,Surface,Largeur,Longueur,CircArbre,dispersion,log_disp
4,Gornies,6.3,7,39,1.33764,0.53473,3.51584,47.5,0.034298461538461535,-3.372654778922251
4,Gornies,6.3,7,30.4,1.21003,0.57427,2.83561,47.5,0.03980361842105263,-3.2237974557224476
4,Gornies,6.3,7,35.9,1.08956,0.47654,3.10841,47.5,0.030349860724233988,-3.494963350474507
4,Gornies,6.3,7,36.1,1.05918,0.5682,2.53751,47.5,0.02934016620498615,-3.5287978414917256
4,Gornies,6.3,7,38.7,1.3548,0.57415,3.27452,47.5,0.03500775193798449,-3.3521857580742567
4,Gornies,6.3,7,34.9,1.2086,0.58377,2.79773,47.5,0.034630372492836674,-3.3630241642630603
4,Gornies,6.3,8,24.3,0.98277,0.53634,2.47736,28,0.04044320987654321,-3.2078565141780393
4,Gornies,6.3,8,31.9,1.02967,0.50526,2.9082,28,0.032278056426332295,-3.433367647234081
4,Gornies,6.3,8,30,1.13161,0.57243,2.85924,28,0.037720333333333335,-3.2775559842110344
4,Gornies,6.3,8,27.2,1.05006,0.53734,2.64382,28,0.03860514705882353,-3.2543696679079677
4,Gornies,6.3,8,35.3,1.09084,0.53333,2.82987,28,0.030901983002832863,-3.476934922288595
4,Gornies,6.3,8,28.8,0.8533,0.45815,2.61444,28,0.02962847222222222,-3.5190194805814983
4,Gornies,6.3,8,33.3,0.84208,0.46416,2.55569,28,0.02528768768768769,-3.6774376543630662
4,Gornies,6.3,8,26.9,0.99806,0.52632,2.60465,28,0.03710260223048327,-3.2940681708451347
4,Gornies,6.3,8,28.7,0.7014,0.46316,2.21297,28,0.024439024390243903,-3.711574064041635
4,Gornies,6.3,8,25.3,0.83291,0.48321,2.50673,28,0.032921343873517785,-3.4136340816031447
4,Gornies,6.3,8,36.6,0.92364,0.50727,2.59486,28,0.02523606557377049,-3.6794811340552314
4,Gornies,6.3,8,26.7,1.152,0.6015,2.74174,28,0.043146067415730335,-3.1431640031325045
4,Gornies,6.3,8,29.5,1.152,0.57845,2.9082,28,0.039050847457627116,-3.2428907010720747
4,Gornies,6.3,8,32,1.152,0.56441,2.7907,28,0.036,-3.3242363405260273
4,Gornies,6.3,8,33.9,0.9634,0.50727,2.51652,28,0.0284188790560472,-3.5607015991724213
4,Gornies,6.3,8,28.6,1.10103,0.52832,2.7907,28,0.038497552447552444,-3.25716061250008
4,Gornies,6.3,8,39.5,1.13161,0.54035,2.78091,28,0.028648354430379747,-3.5526592744559555
4,Gornies,6.3,8,30.6,0.95627,0.52331,2.49694,28,0.031250653594771235,-3.465714987985763
4,Gornies,6.3,8,33.2,0.90325,0.56441,2.6634,28,0.027206325301204818,-3.6043057848768303
4,Gornies,6.3,8,38.2,0.94607,0.52331,2.69278,28,0.024766230366492142,-3.69827423250867
4,Gornies,6.3,9,31.9,0.86357,0.45057,2.68663,25,0.02707115987460815,-3.6092863290404433
4,Gornies,6.3,9,36.5,0.96458,0.48194,2.62619,25,0.026426849315068494,-3.6333747661336613
4,Gornies,6.3,9,40.8,1.01403,0.51976,2.79164,25,0.024853676470588237,-3.694749590879959
4,Gornies,6.3,9,31.4,0.83425,0.45528,2.63091,25,0.02656847133757962,-3.6280300542648614
4,Gornies,6.3,9,40.2,0.94728,0.50492,2.67121,25,0.02356417910447761,-3.7480275545844113
4,Gornies,6.3,9,23.4,0.71380999999999994,0.38828,2.51964,25,0.030504700854700854,-3.4898744808613875
4,Gornies,6.3,9,25.7,0.75902,0.41498,2.54575,25,0.029533852140077824,-3.522218143373715
4,Gornies,6.3,9,44.6,0.88052,0.43868,2.68281,25,0.019742600896860984,-3.924976495963025
4,Gornies,6.3,9,31,0.8392,0.42252,2.68456,25,0.027070967741935483,-3.609293426385196
